8256	[1873]	[86, 211, 295, 301, 389, 604, 768, 789, 960, 1094, 1373, 1385, 1680, 1790, 1983, 2000, 2094, 2271, 2509, 2574, 2590, 2683, 2726, 2946, 3505, 3839, 4636, 4858, 4859, 5376, 5477, 6238, 6355, 6617, 6996, 7097, 7640, 7856, 7923, 8009, 287, 3205, 362, 2217, 709, 2982]
2731	[2479]	[87, 211, 348, 468, 695, 762, 804, 956, 1022, 1081, 1293, 1497, 1707, 1860, 1865, 1938, 2190, 2225, 2511, 1574, 2217, 493, 114, 862, 1180, 970]
5238	[4047]	[5232]
2825	[2429]	[1871]
3524	[]	[93]
2548	[]	[95, 465, 541, 736, 970, 1075, 1235, 1293, 1530, 1539, 1857, 2032, 2077, 2467, 2511, 2543, 380, 1574, 2533, 503, 2155, 1168, 2522]
987	[723]	[97]
3029	[1876]	[97]
6147	[1113]	[97]
5183	[4046]	[3601]
9634	[8232]	[5546]
2568	[2048]	[1052]
3201	[503]	[2546]
2982	[990]	[995]
5767	[48]	[1897]
2533	[231, 443, 743, 883, 970, 1058, 1200, 1377, 1574, 2221, 2253, 373, 959, 827, 1170]	[98]
1424	[882]	[98]
2887	[236]	[1941]
201	[]	[98]
3435	[]	[1751]
5172	[1199]	[98, 120, 503, 1132, 1390, 1702, 3201, 3205, 3206, 3505, 3772, 3872, 202, 704, 237, 903, 1467, 2070, 389, 5157, 1366, 1564, 1657]
583	[]	[209]
585	[]	[99]
363	[233]	[253]
9813	[]	[2522]
458	[363]	[379]
6948	[]	[6437, 1186]
8312	[7269]	[3594]
3223	[2765]	[465, 823, 1040, 1046, 2299, 2969, 3109, 1351, 1907, 2696]
3723	[]	[112, 435, 614, 647, 799, 889, 924, 938, 1121, 1157, 1315, 1455, 1474, 1615, 1674, 1843, 1897, 1906, 2217, 2605, 2651, 2660, 2868, 3112, 3205, 3255, 3309, 3642, 226, 1280, 2766, 1798, 1564, 1565, 2205, 3168]
202	[]	[114]
8754	[959, 1132, 2139, 3823, 5535, 202, 203, 6058, 8350, 5575, 6585, 2533]	[956, 6682, 7392, 8273, 8153]
7652	[]	[114, 1132, 1289, 1574, 1671, 1951, 2198, 2481, 3397, 3414, 3664, 3886, 5148, 6255, 226, 6337, 7392, 6281, 2497, 720, 1112, 167, 1954, 2794]
8944	[1574, 2139, 3403, 202, 6597, 1553, 2755]	[536, 7652, 7105]
7138	[2503]	[2731, 1189]
9195	[3664]	[1574, 2621, 2731, 3414, 7652, 213, 226, 1954, 2041]
8468	[7362]	[114, 231, 380, 827, 862, 995, 1132, 1574, 1629, 1951, 1983, 2050, 2198, 2210, 2546, 2581, 2731, 3078, 3173, 3201, 3397, 3414, 3518, 3783, 4686, 4808, 6045, 6104, 6255, 6345, 6585, 7093, 202, 6795, 7652, 7138, 7012, 5490, 3959, 4268, 226, 6319, 7378, 4690, 6251, 3942, 6597, 2892, 5415, 7392, 8181, 4181, 3355, 1553, 1977, 1781, 1112, 7105, 5952, 5971, 969]
6255	[1671]	[114, 3397, 1936, 720]
1132	[137, 719, 1009, 1011, 1112, 817, 448]	[1100]
3403	[1321]	[1094]
114	[]	[86]
3604	[]	[604, 973, 1103, 1269, 1954, 2975, 226, 867, 380, 1200, 1132]
1269	[883]	[1180]
435	[297]	[114]
5109	[198]	[114, 604, 889, 969, 1161, 1386, 2120, 2548, 2803, 3010, 3086, 3166, 4666, 4882, 2856, 3750, 226, 704, 1539, 1132, 1182, 1366, 120, 3454, 3641]
2856	[639]	[257]
1951	[864]	[114, 137, 503, 704, 916, 1074, 1474, 1710, 1743, 1070, 678, 257, 719]
6927	[4874]	[3723]
1564	[493]	[114]
9501	[1506]	[114]
1506	[201]	[114]
720	[163]	[114]
3055	[2032]	[114]
9287	[3750]	[4135]
1366	[86]	[120, 238, 402, 492, 754, 827, 897, 902, 918, 867]
4148	[1293]	[3753]
246	[]	[114]
5971	[704]	[3117]
7070	[3723]	[231, 236, 5952, 1175, 5046]
2794	[1219]	[1401, 2726]
9109	[396, 760, 1272, 1565, 1983, 3041, 5593, 6823, 6982, 7669, 8691]	[1199, 1895, 2217, 2245, 2477, 2683, 3067, 3239, 3796, 4164, 4491, 4740, 4979, 5083, 5355, 5388, 5400, 5421, 6086, 6349, 6555, 6889, 6966, 6989, 7211, 8078, 8301, 8441, 8849, 3758]
3454	[1269, 1539]	[198, 1180, 2210, 2998]
5335	[]	[5017]
115	[]	[16]
5029	[]	[115]
6851	[3504]	[5821]
6821	[105, 1656, 2344, 5346, 6224, 6371, 6540, 6565, 5166, 5803, 2009]	[2889]
3360	[2976]	[1931]
862	[154]	[823]
3469	[3051]	[925]
